[2023-02-11 15:11:35.4921920 | INF] KAPE directory: E:\kape\KAPE
[2023-02-11 15:11:35.4921920 | INF] Command line:   --tsource C: --tdest E:\23-0211_1Win --target !SANS_Triage --zip DESKTOP-VT2D789 --gui 
[2023-02-11 15:11:35.4921920 | INF] System info: Machine name: DESKTOP-VT2D789, 64-bit: true, User: gunna OS: "Windows10" (10.0.19045)
[2023-02-11 15:11:38.6492325 | INF] Using Target operations
[2023-02-11 15:11:38.6642321 | INF] Found 18 targets. Expanding targets to file list...
[2023-02-11 15:11:38.7577640 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-02-11 15:11:39.2908423 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-02-11 15:11:39.3203593 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-02-11 15:11:39.3827295 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-02-11 15:11:39.4153316 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-02-11 15:11:41.9923501 | INF] Found 1,315 files in 3.129 seconds. Beginning copy...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\Windows\System32\winevt\logs\Application.evtx due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPDetection-20230205-194817.log due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPDeviceControl-20230211-151500.log due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPLog-20230205-194817.log due to IOException...
[2023-02-11 15:11:42.8359547 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20230211-151505-00000003-ffffffff.bin due to IOException...
[2023-02-11 15:11:44.7112862 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-02-11.2359.2784.1.aodl due to IOException...
[2023-02-11 15:11:45.1328661 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc due to IOException...
[2023-02-11 15:11:45.1328661 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc-shm due to IOException...
[2023-02-11 15:11:45.1328661 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc-wal due to IOException...
[2023-02-11 15:12:33.5707609 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2023-02-11.2311.3904.144.aodl due to IOException...
[2023-02-11 15:12:48.8829237 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc due to IOException...
[2023-02-11 15:12:48.8829237 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc-shm due to IOException...
[2023-02-11 15:12:48.8829237 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc-wal due to IOException...
[2023-02-11 15:12:50.2891699 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\settings\Personal\downloads3.txt due to IOException...
[2023-02-11 15:12:50.3831797 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\settings\Personal\e572088aa086cd32.dat due to IOException...
[2023-02-11 15:12:50.6487336 | INF]   Deferring C:\Users\gunna\AppData\Local\Microsoft\OneDrive\settings\Personal\KFM.db due to IOException...
