
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.0.2.15:49674        52.159.127.243:https   ESTABLISHED
  TCP    10.0.2.15:49861        52.159.127.243:https   ESTABLISHED
  TCP    10.0.2.15:49873        52.159.127.243:https   ESTABLISHED
  TCP    10.0.2.15:49975        72.21.91.29:http       CLOSE_WAIT
  TCP    10.0.2.15:49981        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49982        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49983        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49984        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49985        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49986        a23-64-114-137:https   CLOSE_WAIT
  TCP    10.0.2.15:49991        a23-213-53-26:https    CLOSE_WAIT
  TCP    10.0.2.15:49992        a23-213-53-26:https    CLOSE_WAIT
  TCP    10.0.2.15:50021        72.21.91.29:http       CLOSE_WAIT
  TCP    10.0.2.15:50030        20.42.73.26:https      CLOSE_WAIT
  TCP    10.0.2.15:50033        20.112.56.82:https     CLOSE_WAIT
  TCP    10.0.2.15:50426        146.75.81.44:https     ESTABLISHED
  TCP    10.0.2.15:50446        cdn-185-199-110-133:https  ESTABLISHED
  TCP    10.0.2.15:50447        cdn-185-199-109-154:https  ESTABLISHED
  TCP    10.0.2.15:50454        cdn-185-199-109-154:https  ESTABLISHED
  TCP    10.0.2.15:50473        52.154.245.177:https   CLOSE_WAIT
  TCP    10.0.2.15:50485        h216-165-155-41:https  ESTABLISHED
  TCP    10.0.2.15:50490        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50491        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50492        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50493        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50494        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50495        13.107.21.200:https    ESTABLISHED
  TCP    10.0.2.15:50496        13.107.22.200:https    ESTABLISHED
  TCP    10.0.2.15:50497        13.107.22.200:https    ESTABLISHED
  TCP    10.0.2.15:50498        52.96.79.130:https     ESTABLISHED
  TCP    10.0.2.15:50505        13.107.246.254:https   ESTABLISHED
  TCP    10.0.2.15:50506        13.107.12.254:https    ESTABLISHED
  TCP    10.0.2.15:50507        a23-48-99-69:https     CLOSE_WAIT
  TCP    10.0.2.15:50508        72.21.91.29:http       ESTABLISHED
  TCP    10.0.2.15:50509        204.79.197.222:https   ESTABLISHED
  TCP    10.0.2.15:50510        20.189.173.14:https    ESTABLISHED
  TCP    10.0.2.15:50512        13.107.238.51:https    ESTABLISHED
  TCP    10.0.2.15:50514        72.21.91.29:http       ESTABLISHED
  TCP    10.0.2.15:50515        13.107.43.16:https     ESTABLISHED
  TCP    10.0.2.15:50516        72.21.91.29:http       ESTABLISHED
  TCP    10.0.2.15:50518        13.107.3.128:https     ESTABLISHED
  TCP    10.0.2.15:50519        13.107.4.52:http       ESTABLISHED
  TCP    10.0.2.15:50520        20.62.190.190:https    TIME_WAIT
  TCP    10.0.2.15:50522        52.159.49.199:https    ESTABLISHED
  TCP    10.0.2.15:50523        13.107.3.128:https     ESTABLISHED
  TCP    10.0.2.15:50524        138.91.230.148:https   ESTABLISHED
  TCP    10.0.2.15:50526        20.42.65.89:https      TIME_WAIT
  TCP    10.0.2.15:50527        104.18.24.243:http     ESTABLISHED
  TCP    10.0.2.15:50528        52.189.97.158:https    ESTABLISHED
  TCP    10.0.2.15:50530        104.46.162.224:https   ESTABLISHED
  TCP    10.0.2.15:50531        20.190.4.251:https     ESTABLISHED
  TCP    10.0.2.15:50532        40.77.2.164:https      TIME_WAIT
  TCP    10.0.2.15:50533        20.42.65.89:https      TIME_WAIT
